date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-11-09,3058193.143079242,2881085.457620334,3068080.56142034,3209836.263820337
2025-11-10,2969093.965294113,2821808.2931852113,2978981.383635211,3112615.4197852085
2025-11-11,3091184.7525736247,2964000.9211647217,3096381.5194147197,3229302.19441472
2025-11-12,3021713.9749041125,2830602.885245212,3015946.6062452025,3158091.2176952036
2025-11-13,2962591.6880786302,2737911.258419729,2953931.7004197272,3113492.6464197272
2025-11-14,3094911.8830713667,2947150.4476124644,3091815.0394124594,3263423.240562458
2025-11-15,3031039.113551851,2872176.9578929436,3033460.7351429453,3199550.4710429423
2025-11-16,2947585.0695328764,2725420.3329239725,2962487.162623967,3096694.241123975
2025-11-17,3063573.9653494493,2902402.678690548,3060904.290940542,3221314.539440545
2025-11-18,2973523.117044936,2838221.1978860316,2972102.7658860316,3107248.9453360313
2025-11-19,3103517.166465205,2978953.427806303,3109214.509806303,3252456.5153063037
2025-11-20,3059672.5697928774,2877237.466983971,3075967.0708839744,3220673.78763397
2025-11-21,3005233.6004537707,2847565.5652948674,3019090.7622948634,3140852.339244868
2025-11-22,3078222.0945879426,2903268.690529042,3107224.9454290373,3249037.6884290413
2025-11-23,3086334.626067328,2939154.0744084255,3094134.663158427,3237298.7120084227
2025-11-24,3073247.3311794554,2914952.7635705518,3074118.0510205515,3210541.460270555
2025-11-25,3036857.1236658907,2878429.8935069866,3048357.9725069837,3193513.2300069863
2025-11-26,2974245.118393838,2783180.695084931,2958075.5172349317,3092007.1972349333
2025-11-27,3146749.1242191107,2989081.0890602074,3141476.646060207,3280587.3329102066
2025-11-28,3051587.643208767,2918507.830049861,3057045.319299862,3190739.033899863
